Date,SMR,OKLO,NNE,NNE weight,OKLO weight,SMR weight,weightedReturn
2024-02-21,0.9849623312101831,1.0009407552939018,0.0,0.0,0.5,0.5,0.9929515432520424
2024-02-22,0.9656488862211892,0.9981202577896322,0.0,0.0,0.5,0.5,0.9818845720054107
2024-02-23,1.0276679581163575,1.001883282295593,0.0,0.0,0.5,0.5,1.0147756202059752
2024-02-26,1.0500000458497285,1.0,0.0,0.0,0.5,0.5,1.0250000229248641
2024-02-27,1.1428570929526787,1.0,0.0,0.0,0.5,0.5,1.0714285464763393
2024-02-28,1.0256410785445584,1.000939781474142,0.0,0.0,0.5,0.5,1.0132904300093504
2024-02-29,0.9687499557621784,0.9990611008858515,0.0,0.0,0.5,0.5,0.983905528324015
2024-03-01,1.112903275425304,0.9990601288948161,0.0,0.0,0.5,0.5,1.0559817021600602
2024-03-04,1.1304347946272755,1.0018814208724407,0.0,0.0,0.5,0.5,1.066158107749858
2024-03-05,1.1487179255187714,1.0028169659831074,0.0,0.0,0.5,0.5,1.0757674457509394
2024-03-06,0.941964234871676,1.0046815763700228,0.0,0.0,0.5,0.5,0.9733229056208494
2024-03-07,1.0568720994994227,1.0009319878199876,0.0,0.0,0.5,0.5,1.0289020436597052
2024-03-08,1.2309416421886696,1.001862240054926,0.0,0.0,0.5,0.5,1.1164019411217978
2024-03-11,0.9981785514641941,1.003717468494625,0.0,0.0,0.5,0.5,1.0009480099794095
2024-03-12,1.1441605764787195,0.9990740528976643,0.0,0.0,0.5,0.5,1.0716173146881918
2024-03-13,1.129186594137732,1.0,0.0,0.0,0.5,0.5,1.0645932970688659
2024-03-14,1.02259884874806,1.0009268052749944,0.0,0.0,0.5,0.5,1.0117628270115273
2024-03-15,1.084254164751195,0.9944444056891617,0.0,0.0,0.5,0.5,1.0393492852201782
2024-03-18,1.2866242680473603,1.013966534022465,0.0,0.0,0.5,0.5,1.1502954010349127
2024-03-19,0.6514851163548718,0.9963269090365499,0.0,0.0,0.5,0.5,0.8239060126957108
2024-03-20,0.7416413633774565,0.9981566399022593,0.0,0.0,0.5,0.5,0.8698990016398579
